,0
90,"An alien from a planet where no one else experiences empathy comes to live on Earth, believing they will fit in better there."
91,"A young lawyer graduates into a world where, for the first time, brain scans can accurately detect lies."
92,A group of intelligence-enhanced lab animals must find a way to communicate before their turn in the euthanization chamber.
93,"Humans have discovered a way to communicate directly with animals, and all the meat they consume is lab-created."
94,"An orphan girl, desperate to make anything last, snaps pictures with a camera she found among ship wreckage. She finds she can enter the still-life photos without aging."
95,High-speed robotic horses become a trendy alternative to cars and weave through heavy traffic with ease.
96,A scientist races against time to hide his latest invention from the government: a devastating antimatter bomb that he fears will start World War III.
97,"When the last courtesan training house is threatened with obsolescence, the downtrodden women of the Athena belt unite to preserve the last vestige of female independence.“Ikaria isn’t a religious retreat. It’s a science experiment. And you’re the mouse.”"
98,Scientists discover the key to human origins trapped in the polar ice caps after they melt. The message it delivers is a second chance for mankind’s irresponsible treatment of their home.
99,"A corporate created computer virus disables every device with a microchip on the planet, except for those that are protected with their high-priced security software."
100,Mass hysteria hits 1950s New York after a report of a Martian spotted atop the Empire State Building.
101,"“I don’t care about bioluminescent lakes, dad! I like my sparkle in a glow stick.”"
102,The world’s leaders broker a deal with the alien invaders that many see as unfair.
103,The crew of Earth’s first deep space vessel discover an area of space where Earth’s laws of physics don’t apply.
104,"Scientists discover a fusion phenomena in deep space. Like a black hole, but in reverse. The material leaving it seems to be the building blocks for all life in the galaxy. Is this the great mother of all life in the universe?"
105,“Roads? Where we’re going we don’t need roads.”
106,A hobo finds the secret to true love tonic.“Why grieve when you can keep your loved one encased in Forever Glass™?”
107,"A boy from 1920s America learns he’s actually in the year 2020, where technology is advanced and he’s a social study."
108,A low-level employee in a bureaucratic government office realizes the paperwork he files every day contains codes that determine others’ fates.
109,A test pilot returns to Earth after the first-ever faster-than-light space flight.
110,Someone is shrunk to a tiny size to perform a life-saving or planet-saving procedure impossible for a machine or an average-sized human.
111,"A Captain sets off on a mission to negotiate an interplanetary alliance, but he’s warned it could lead to Earth’s destruction."
112,"The first time travellers seem to have no ability to improve the course of human events. If they kill Hitler, for instance, some other person does exactly what he did. They search for the way to really alter the timeline."
113,"Faced with Earth’s imminent destruction, two computer whizzes design Earth Memory—a hub containing art, internet content, knowledge, written history, human DNA, and the two boys’ memories. They wake up with 100k other humans on an Earth-like planet where they must work to find out what happened and who saved them."
114,Five intrepid teens discover that the wizard class who rule the country are really just masters of a minor technology that one of the boys has accidentally stolen.
115,"A human and alien fall in love, causing an interplanetary crisis."
116,Each child a woman births is a vote for that world’s continuation.The CEO of Living Doll Corp has a crisis of conscience when a child drowns trying to save a doll that fell in a lake.
117,An abandoned shack turns out to be a door to another universe as a band of local hooligans is about to find out.
118,"A virus attacks humans. The survivors, now fused with the virus, begin to remember a time before Earth."
119,Colonists on another planet want to be an independent country and lead a rebellion.
120,An army general leads a squad of aliens that have come to earth to assist the Allies during WWII in their fight against Hitler.
121,A team of scientists attempt to genetically alter a human to adapt to another planet’s terrain or outer space travel. They accidentally make him or her immortal.
122,"All marriages must be approved by a department of the government, which analyzes massive amounts of data to predict the success of the union, its economic and social impact on society, the health and welfare of any children, and so on. It’s such a hassle that many people opt for government-arranged marriages instead."
123,Implants make telepathy possible between the humans who get them.
124,"Cassandra, a time traveling police officer, pretends to read her customers’ futures through Tarot cards because it’s the only way to convince them of the truth."
125,"The huge, thin sheets of material covering some trees and yards turn out to be discarded placentas."
126,All citizens are temporarily neutered at birth. Would-be parents must prove to the government that they’ll be suitable caretakers and providers before they are allowed to procreate.
127,"Online bullying is made a felony, which leads to unforeseen complications."
128,"A woman and her boyfriend are out for a night on the town, only to discover they’re trapped in a pocket universe where everything is the opposite of what it should be."
129,"A fishing vessel near Antarctica pulls what appears to be a new, humanoid species up in its net—and it turns out to be very, very smart."
130,It’s easy to look up exactly where any person is at any given time.
131,A boy grows up amidst “lost technology” with his grandparent’s stories about “Earth that was.”
132,"A failing physics student accidentally discovers faster-than-light-speed travel, but his professor doesn’t believe him."
133,"A social worker in an impoverished planetary colony discovers a cheap way to manufacture housing for the homeless, but the housing material is on a corporate reserve."
134,Advertisements appear randomly in thin air in front of a person. Getting media without this advertising is prohibitively expensive.
135,'A man in a refugee camp for memory loss victims starts to remember his past—that he and the other refugees were freedom fighters with special abilities. But he can’t access his powers without help from his friends. Can he help the others remember?'
136,"“If I can’t save her from the creaux, then no one else matters.”"
137,A neurologist discovers that the human brain is wired to learn planetary physics during infancy. Is this proof that humans weren’t always Earth-dwelling?
